indexA,indexB,area_ratio,street_pattern,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
462.0,484.0,0.997371222463096,hibrido,0.443,0.261,0.151,0.031,0.101,0.004,0.0
463.0,485.0,0.996442434357154,cul_de_sac,0.313,0.0,0.318,0.369,0.0,0.0,0.0
464.0,486.0,0.9964448830780702,organico,0.0,0.028,0.08,0.877,0.015,0.0,0.0
465.0,487.0,0.9943834508101644,gridiron,0.355,0.277,0.104,0.132,0.072,0.008,0.001
466.0,488.0,0.9966643714664698,hibrido,0.446,0.216,0.135,0.08,0.084,0.014,0.0
467.0,489.0,0.9989924595396054,organico,0.267,0.149,0.265,0.106,0.106,0.027,0.0
468.0,490.0,0.992487676865802,organico,0.36,0.171,0.166,0.067,0.152,0.02,0.006
469.0,491.0,0.9931399763666576,organico,0.267,0.1,0.214,0.112,0.194,0.099,0.0
470.0,492.0,0.994323444620366,gridiron,0.356,0.1,0.197,0.04,0.186,0.065,0.032
471.0,493.0,0.9945800189949244,organico,0.426,0.11,0.204,0.195,0.041,0.0,0.0
472.0,494.0,0.9991157218670572,organico,0.241,0.076,0.41,0.026,0.099,0.021,0.0
473.0,495.0,0.9988939460145624,organico,0.433,0.035,0.368,0.033,0.058,0.033,0.008
474.0,496.0,0.9983357672672616,organico,0.351,0.114,0.245,0.077,0.111,0.073,0.013
475.0,497.0,0.983784942382065,cul_de_sac,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476.0,498.0,0.9929478012484028,hibrido,0.468,0.21,0.07,0.032,0.128,0.024,0.04
477.0,499.0,0.9996210643939328,hibrido,0.635,0.0,0.07,0.07,0.226,0.0,0.0
478.0,500.0,0.988679555509042,organico,0.314,0.043,0.036,0.156,0.342,0.072,0.036
479.0,501.0,0.9970695505606488,hibrido,0.39,0.187,0.211,0.049,0.102,0.024,0.007
480.0,502.0,0.9932373456697704,gridiron,0.356,0.139,0.244,0.078,0.088,0.039,0.009
481.0,503.0,0.9975057518684118,gridiron,0.385,0.191,0.19,0.032,0.134,0.007,0.007
482.0,504.0,0.9968315380200083,hibrido,0.28,0.213,0.143,0.148,0.112,0.04,0.028
483.0,505.0,0.9975505414143636,gridiron,0.226,0.154,0.28,0.147,0.108,0.062,0.006
484.0,506.0,0.9973419367358272,organico,0.35,0.066,0.09,0.243,0.135,0.008,0.0
485.0,507.0,0.9996737619088216,organico,0.116,0.418,0.149,0.031,0.251,0.0,0.013
486.0,508.0,0.997845212911152,hibrido,0.314,0.212,0.23,0.042,0.152,0.013,0.003
487.0,509.0,0.994850393551566,organico,0.337,0.224,0.184,0.064,0.084,0.05,0.0
